Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-14,2258.5400390625,2284.719970703125,2250.0,2278.3798828125,1599800,0,0
2021-05-17,2263.570068359375,2289.780029296875,2255.510009765625,2288.919921875,1079900,0,0
2021-05-18,2302.35009765625,2307.679931640625,2262.18994140625,2262.469970703125,1110200,0,0
2021-05-19,2228.429931640625,2274.989990234375,2225.43994140625,2271.5,1184200,0,0
2021-05-20,2291.0,2312.0,2283.52001953125,2306.949951171875,1617600,0,0
2021-05-21,2317.409912109375,2318.889892578125,2289.300048828125,2294.1298828125,2031600,0,0
2021-05-24,2314.889892578125,2365.550048828125,2311.9599609375,2361.0400390625,1591600,0,0
2021-05-25,2372.0,2384.0,2355.0,2362.8701171875,1122000,0,0
2021-05-26,2366.52001953125,2388.989990234375,2366.4599609375,2380.31005859375,1078600,0,0
2021-05-27,2389.050048828125,2389.050048828125,2356.260009765625,2362.679931640625,1761200,0,0
2021-05-28,2374.419921875,2376.070068359375,2352.85009765625,2356.85009765625,1074100,0,0
2021-06-01,2374.43994140625,2385.7099609375,2354.280029296875,2381.179931640625,1167700,0,0
2021-06-02,2389.14990234375,2393.639892578125,2352.360107421875,2370.590087890625,1057900,0,0
2021-06-03,2345.72998046875,2357.02001953125,2329.52001953125,2347.580078125,934800,0,0
2021-06-04,2369.27001953125,2399.030029296875,2362.409912109375,2393.570068359375,1222900,0,0
2021-06-07,2389.43994140625,2404.510009765625,2381.0,2402.300048828125,1206000,0,0
2021-06-08,2412.010009765625,2419.52001953125,2394.780029296875,2398.43994140625,1212000,0,0
2021-06-09,2411.429931640625,2412.8798828125,2396.89990234375,2407.93994140625,897100,0,0
2021-06-10,2406.919921875,2436.0,2403.780029296875,2435.1298828125,1295200,0,0
2021-06-11,2440.0,2441.719970703125,2418.9599609375,2430.199951171875,1097900,0,0
2021-06-14,2432.260009765625,2448.919921875,2418.0,2448.909912109375,1104900,0,0
2021-06-15,2449.0,2455.510009765625,2421.1201171875,2428.389892578125,1078100,0,0
2021-06-16,2431.43994140625,2437.719970703125,2389.39990234375,2415.449951171875,1323600,0,0
2021-06-17,2413.949951171875,2450.449951171875,2410.0,2434.8701171875,1292100,0,0
2021-06-18,2427.340087890625,2432.06005859375,2400.300048828125,2402.219970703125,2305800,0,0
2021-06-21,2410.010009765625,2440.0,2397.969970703125,2436.25,1370700,0,0
2021-06-22,2435.0,2448.0,2421.280029296875,2446.610107421875,1119500,0,0
2021-06-23,2441.8701171875,2461.909912109375,2436.68994140625,2442.5400390625,957400,0,0
2021-06-24,2454.0,2461.110107421875,2446.0,2450.0,1068100,0,0
2021-06-25,2440.0,2452.659912109375,2431.300048828125,2450.169921875,1729700,0,0
2021-06-28,2453.570068359375,2455.699951171875,2428.110107421875,2450.719970703125,1426300,0,0
2021-06-29,2453.409912109375,2460.419921875,2433.820068359375,2445.449951171875,1155400,0,0
2021-06-30,2439.889892578125,2445.139892578125,2427.090087890625,2441.7900390625,1223700,0,0
2021-07-01,2434.5,2451.739990234375,2430.6298828125,2448.889892578125,905500,0,0
2021-07-02,2463.0,2508.080078125,2461.18994140625,2505.14990234375,1299100,0,0
2021-07-06,2512.969970703125,2528.56005859375,2491.64990234375,2523.800048828125,1320200,0,0
2021-07-07,2543.239990234375,2545.679931640625,2523.06005859375,2529.47998046875,1203000,0,0
2021-07-08,2480.52001953125,2511.909912109375,2480.43994140625,2500.8798828125,1188100,0,0
